timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
5.5397,kick_low,28.1178,21.3619,24.7398,70.89,96.17,28.1178,13.4631
5.5731,guard_position,0.0,0.0,0.0,180.0,180.0,0.0,0.0
5.6064,kick_low,34.0328,29.9744,32.0036,45.43,74.36,34.0328,16.3382
5.6398,forward_movement,0.6386,0.5797,0.6092,39.23,78.57,0.1567,0.6386
5.6732,forward_movement,0.4643,0.3721,0.4182,47.59,64.2,0.4643,0.0251
5.7066,kick_low,0.2486,1.6272,0.9379,44.88,64.15,0.2486,0.1241
5.7399,kick_low,0.6962,1.3713,1.0337,44.87,81.49,0.3188,0.6962
5.7733,forward_movement,0.214,0.4022,0.3081,41.96,76.07,0.1604,0.214
5.8067,kick_low,0.3332,2.2134,1.2733,42.3,78.24,0.1131,0.3332
5.84,forward_movement,0.3118,0.3767,0.3442,40.81,73.91,0.2271,0.3118
5.8734,guard_position,0.5661,0.5996,0.5828,45.1,84.34,0.3655,0.5661
5.9068,forward_movement,0.2826,0.3032,0.2929,51.64,64.68,0.1572,0.2826
5.9402,backward_movement,0.2658,0.1198,0.1928,55.45,66.14,0.0697,0.2658
5.9735,backward_movement,0.3177,0.2144,0.266,54.4,73.31,0.3177,0.0944
6.0069,guard_position,0.3835,0.2402,0.3119,54.75,65.18,0.091,0.3835
6.0403,guard_position,0.1039,0.1211,0.1125,51.85,65.19,0.1039,0.0677
6.0736,backward_movement,0.5593,0.2072,0.3832,45.25,73.22,0.5593,0.3415
6.107,backward_movement,0.053,0.0787,0.0659,48.08,83.4,0.053,0.0186
6.1404,backward_movement,0.345,0.1309,0.2379,50.34,75.34,0.2054,0.345
6.1738,backward_movement,0.2687,0.1139,0.1913,52.08,74.81,0.1473,0.2687
6.2071,backward_movement,0.3469,0.3338,0.3403,50.0,75.07,0.3469,0.1647
6.2405,backward_movement,0.2013,0.1286,0.1649,51.91,70.43,0.194,0.2013
6.2739,backward_movement,0.4256,0.2094,0.3175,47.25,72.1,0.4256,0.2077
6.3072,backward_movement,0.6348,0.1507,0.3927,49.07,64.91,0.1015,0.6348
6.3406,backward_movement,0.7151,0.2134,0.4643,53.33,55.17,0.0382,0.7151
6.374,backward_movement,0.3681,0.1094,0.2387,52.86,58.68,0.1646,0.3681
6.4074,forward_movement,0.248,0.149,0.1985,53.06,61.75,0.0699,0.248
6.4407,forward_movement,0.3962,0.1195,0.2578,58.36,70.83,0.1778,0.3962
6.4741,guard_position,0.5524,0.0781,0.3152,51.77,85.6,0.2275,0.5524
6.5075,guard_position,1.1089,0.1258,0.6173,52.44,103.08,0.046,1.1089
6.5408,punch_right,1.1373,0.1807,0.659,52.91,132.93,0.0454,1.1373
6.5742,forward_movement,1.032,0.2676,0.6498,55.3,164.49,0.9425,1.032
6.6076,punch_right,1.7525,0.1771,0.9648,44.2,174.83,0.079,1.7525
6.641,guard_position,1.0479,0.2863,0.6671,53.1,171.02,0.5108,1.0479
6.6743,punch_right,1.8453,0.1062,0.9757,45.89,176.38,0.1493,1.8453
6.7077,forward_movement,0.5957,0.1268,0.3613,51.72,172.96,0.5957,0.4566
6.7411,forward_movement,0.5018,0.3209,0.4114,43.76,173.13,0.5018,0.42
6.7744,punch_right,2.2604,0.1314,1.1959,60.46,177.81,0.8805,2.2604
6.8078,backward_movement,0.9751,0.7344,0.8547,46.34,162.64,0.196,0.9751
