timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
3.4373,backward_movement,0.7606,0.2881,0.5244,37.03,72.96,0.2222,0.7606
3.4707,kick_low,2.5182,5.7793,4.1488,69.12,66.39,2.5182,0.2764
3.504,kick_low,0.8792,1.4442,1.1617,64.21,152.25,0.8792,0.4807
3.5374,kick_low,1.1214,5.5794,3.3504,61.61,156.92,0.2637,1.1214
3.5708,backward_movement,0.5907,0.5297,0.5602,55.55,165.95,0.4111,0.5907
3.6041,kick_low,0.8028,1.0429,0.9228,54.3,163.53,0.0744,0.8028
3.6375,punch_right,1.1424,0.1028,0.6226,56.51,136.56,0.1359,1.1424
3.6709,kick_low,1.1755,5.7723,3.4739,54.42,52.99,0.1605,1.1755
3.7043,kick_low,1.2689,2.368,1.8184,54.48,137.73,0.3259,1.2689
3.7376,kick_low,0.6979,5.5225,3.1102,54.94,115.4,0.3098,0.6979
3.771,kick_low,0.2785,1.6887,0.9836,50.06,111.77,0.2785,0.1862
3.8044,backward_movement,0.4674,0.2242,0.3458,48.35,125.36,0.3616,0.4674
3.8377,backward_movement,0.7718,0.1229,0.4473,46.53,114.24,0.241,0.7718
3.8711,guard_position,1.3387,0.0619,0.7003,37.41,71.22,0.397,1.3387
3.9045,punch_right,2.1547,0.0798,1.1173,40.56,144.57,0.0423,2.1547
3.9379,guard_position,2.9862,0.095,1.5406,33.2,91.62,0.3621,2.9862
3.9712,guard_position,0.2116,0.171,0.1913,34.1,92.46,0.2116,0.1835
4.0046,guard_position,1.759,0.1755,0.9673,47.64,63.31,0.3146,1.759
4.038,guard_position,1.1467,0.2579,0.7023,43.9,99.29,0.1595,1.1467
4.0713,backward_movement,0.5636,0.3063,0.4349,49.78,118.75,0.2993,0.5636
4.1047,guard_position,1.8906,0.1019,0.9963,48.61,74.22,0.1591,1.8906
4.1381,backward_movement,0.58,0.3711,0.4756,39.19,76.36,0.4892,0.58
4.1715,punch_right,3.1826,0.1947,1.6886,40.65,136.46,0.211,3.1826
4.2048,guard_position,0.4337,0.1039,0.2688,36.89,166.02,0.1593,0.4337
4.2382,backward_movement,0.4759,0.1705,0.3232,33.19,170.55,0.1333,0.4759
4.2716,kick_low,0.9787,1.2066,1.0927,38.62,164.49,0.381,0.9787
4.3049,kick_low,0.1801,0.9901,0.5851,36.41,172.5,0.0966,0.1801
4.3383,backward_movement,0.3055,0.2329,0.2692,41.58,153.15,0.2603,0.3055
4.3717,backward_movement,0.3648,0.1495,0.2571,45.25,140.25,0.3648,0.1234
4.4051,forward_movement,0.2518,0.0783,0.1651,50.17,146.12,0.1603,0.2518
4.4384,forward_movement,0.4919,0.0401,0.266,47.58,132.65,0.1217,0.4919
4.4718,guard_position,0.6891,0.1675,0.4283,45.74,111.97,0.1586,0.6891
4.5052,guard_position,1.2612,0.1349,0.698,43.19,104.46,0.1193,1.2612
4.5385,punch_right,1.1271,0.1961,0.6616,45.62,113.75,0.1093,1.1271
4.5719,guard_position,0.6801,0.1443,0.4122,52.33,98.13,0.3227,0.6801
4.6053,punch_right,1.7973,0.1627,0.98,56.62,110.48,0.2099,1.7973
4.6387,guard_position,1.3709,0.1088,0.7398,61.34,84.71,0.3216,1.3709
4.672,forward_movement,0.8935,0.0467,0.4701,63.01,105.05,0.0777,0.8935
4.7054,punch_right,1.265,0.0844,0.6747,71.01,133.65,0.3962,1.265
4.7388,guard_position,1.3354,0.1973,0.7664,74.49,93.16,0.0877,1.3354
4.7721,guard_position,1.4577,0.2295,0.8436,74.3,84.42,0.2563,1.4577
4.8055,punch_right,2.1548,0.1088,1.1318,72.63,134.42,0.0579,2.1548
4.8389,punch_right,1.3482,0.1064,0.7273,73.51,154.48,0.1755,1.3482
4.8723,kick_low,0.6714,1.913,1.2922,76.98,171.19,0.0955,0.6714
4.9056,kick_low,2.0058,3.0379,2.5218,80.31,127.78,0.2422,2.0058
4.939,kick_low,3.7524,3.2439,3.4982,80.48,67.61,0.2839,3.7524
4.9724,kick_low,0.8309,3.991,2.4109,77.23,63.52,0.1546,0.8309
5.0057,kick_low,3.2641,2.9393,3.1017,75.01,78.89,0.7142,3.2641
5.0391,kick_low,1.9287,4.7168,3.3227,73.73,80.59,0.5637,1.9287
5.0725,kick_low,0.4286,1.4344,0.9315,75.76,56.86,0.4286,0.251
5.1059,kick_low,0.6936,1.4195,1.0566,76.77,73.55,0.6936,0.6066
5.1392,forward_movement,0.9485,0.7382,0.8433,67.65,10.4,0.0779,0.9485
